,rank_ic
2022-11-07,0.2447552447552448
2022-11-08,0.16083916083916086
2022-11-09,-0.22377622377622378
2022-11-10,0.08391608391608392
2022-11-11,0.3076923076923077
2022-11-14,0.0979020979020979
2022-11-15,0.1188811188811189
2022-11-16,-0.15384615384615385
2022-11-17,-0.02097902097902098
2022-11-18,-0.034965034965034975
2022-11-21,0.1328671328671329
2022-11-22,0.14685314685314685
2022-11-23,-0.055944055944055944
2022-11-25,-0.055944055944055944
2022-11-28,-0.02097902097902098
2022-11-29,0.23076923076923078
2022-11-30,0.18881118881118883
2022-12-01,0.16783216783216784
2022-12-02,0.08391608391608392
2022-12-05,0.16783216783216784
2022-12-06,0.17482517482517487
2022-12-07,0.1188811188811189
2022-12-08,0.07692307692307693
2022-12-09,0.5104895104895105
2022-12-12,0.4055944055944056
2022-12-13,0.44055944055944063
2022-12-14,0.18881118881118883
2022-12-15,0.6923076923076924
2022-12-16,0.5104895104895105
2022-12-19,0.43356643356643365
2022-12-20,0.6363636363636365
2022-12-21,0.6363636363636365
2022-12-22,0.34965034965034975
2022-12-23,0.2797202797202798
2022-12-27,0.2027972027972028
2022-12-28,-0.2797202797202798
2022-12-29,0.06993006993006995
2022-12-30,-0.22377622377622378
2023-01-03,-0.3216783216783217
2023-01-04,0.23076923076923078
2023-01-05,0.1188811188811189
2023-01-06,0.08391608391608392
2023-01-09,-0.15061319069274445
2023-01-10,-0.16083916083916086
2023-01-11,-0.1958041958041958
2023-01-12,-0.15384615384615385
2023-01-13,-0.3846153846153847
2023-01-17,-0.4685314685314686
2023-01-18,-0.06993006993006995
2023-01-19,0.04895104895104895
2023-01-20,0.055944055944055944
2023-01-23,-0.04895104895104895
2023-01-24,-0.02097902097902098
2023-01-25,-0.16783216783216784
2023-01-26,-0.4265734265734266
2023-01-27,-0.43356643356643365
2023-01-30,-0.5174825174825175
2023-01-31,-0.34965034965034975
2023-02-01,-0.1958041958041958
2023-02-02,0.2517482517482518
2023-02-03,-0.2937062937062937
2023-02-06,-0.3076923076923077
2023-02-07,-0.1328671328671329
2023-02-08,0.1188811188811189
2023-02-09,0.0979020979020979
2023-02-10,-0.16083916083916086
2023-02-13,-0.2797202797202798
2023-02-14,-0.18181818181818185
2023-02-15,-0.5244755244755246
2023-02-16,-0.8041958041958043
2023-02-17,-0.8111888111888113
2023-02-21,-0.7412587412587414
2023-02-22,-0.8111888111888113
2023-02-23,-0.7132867132867133
2023-02-24,-0.6013986013986015
2023-02-27,-0.6083916083916086
2023-02-28,-0.8111888111888113
2023-03-01,-0.7412587412587414
2023-03-02,-0.7622377622377624
2023-03-03,-0.4545454545454546
2023-03-06,-0.09090909090909093
2023-03-07,-0.07692307692307693
2023-03-08,-0.30069930069930073
2023-03-09,0.10489510489510491
2023-03-10,0.08391608391608392
2023-03-13,0.143607926009361
2023-03-14,0.17482517482517487
2023-03-15,0.5454545454545455
2023-03-16,0.49650349650349657
2023-03-17,0.2027972027972028
2023-03-20,0.14685314685314685
2023-03-21,-0.4685314685314686
2023-03-22,0.18881118881118883
2023-03-23,-0.04895104895104895
2023-03-24,0.07692307692307693
2023-03-27,0.17162898474289487
2023-03-28,0.3636363636363637
2023-03-29,0.06993006993006995
2023-03-30,-0.06293706293706294
2023-03-31,-0.16083916083916086
2023-04-03,-0.3636363636363637
2023-04-04,-0.1258741258741259
2023-04-05,0.1188811188811189
2023-04-06,0.4518395720782334
2023-04-10,0.06993006993006995
2023-04-11,-0.2447552447552448
2023-04-12,0.0979020979020979
2023-04-13,0.2027972027972028
2023-04-14,0.1786342494262783
2023-04-17,0.3636363636363637
2023-04-18,0.30069930069930073
2023-04-19,0.10489510489510491
2023-04-20,0.08391608391608392
2023-04-21,-0.055944055944055944
2023-04-24,0.1328671328671329
2023-04-25,0.2797202797202798
2023-04-26,0.32867132867132864
2023-04-27,0.18881118881118883
2023-04-28,-0.20979020979020982
2023-05-01,-0.07692307692307693
2023-05-02,-0.15384615384615385
2023-05-03,-0.08391608391608392
2023-05-04,-0.2447552447552448
2023-05-05,-0.10489510489510491
2023-05-08,-0.0979020979020979
2023-05-09,-0.1258741258741259
2023-05-10,-0.055944055944055944
2023-05-11,-0.4265734265734266
2023-05-12,-0.18881118881118883
2023-05-15,-0.5034965034965035
2023-05-16,-0.1958041958041958
2023-05-17,-0.3916083916083916
2023-05-18,-0.1958041958041958
2023-05-19,0.014010529366766925
2023-05-22,0.0
2023-05-23,-0.15761845537612793
